internal_id,name,bga_player_id,current_country,bga_country,status
15260,Lieve De Kegel,89115226,BE,BE,ok
15267,BE86,88854853,BE,BE,ok
15328,Didi2658,90154346,BE,BE,ok
15330,evivde,87984756,BE,BE,ok
15332,Valval10,88465412,BE,BE,ok
15333,Fabara,89763978,BE,BE,ok
15339,estellodix,90730034,BE,BE,ok
15352,Koekie34,89948336,BE,BE,ok
15370,mamymimi,89330830,BE,BE,ok
15400,DidineJU28,86490337,BE,BE,ok
15420,dridric1060,86693600,BE,,not_found
15572,jamesminouchet,86625412,BE,BE,ok
15597,gui2004be,88816855,BE,BE,ok
15604,-Lynx-,85648124,BE,BE,ok
15709,SebMo,86160982,BE,BE,ok
15731,neeltje1983,35347087,BE,BE,ok
15735,Vecteur,84543228,BE,BE,ok
15736,Hell_N,85975303,BE,BE,ok
15766,triquitas,83944954,BE,BE,ok
15768,kinkinal27,96128834,BE,BE,ok
15804,lunicjoe,98279195,BE,BE,ok
15833,RafWin,97149432,BE,BE,ok
15941,Fanant,91175187,BE,BE,ok
15948,Dan73,84007052,BE,BE,ok
16078,kathyvt,88329034,BE,BE,ok
16108,EveVro,86795262,BE,BE,ok
16123,sars10,90513305,BE,BE,ok
16155,vliddis,85307099,BE,BE,ok
16230,Ceetie,87971021,BE,BE,ok
16232,Clutterbuck,86064706,BE,BE,ok
16243,Pauline Marbaix,86758564,BE,BE,ok
16259,Sumalicious,85715303,BE,BE,ok
16262,j0nas,38994105,BE,BE,ok
16281,Bart_Hoedemaekers,85589180,BE,BE,ok
16356,Bengochess,84601505,BE,BE,ok
16359,Xapa,83939257,BE,BE,ok
16371,Vangoce,6843151,BE,BE,ok
16391,Flew123,84944469,BE,BE,ok
16392,Liloune83,84881165,BE,BE,ok
16399,cloche2014,84716306,BE,BE,ok
16438,TeslaBoy,84839574,BE,BE,ok
16448,HappyPhantom,84253897,BE,BE,ok
16469,DundeeW,84072341,BE,BE,ok
16473,MacCadillac,85006025,BE,BE,ok
16477,steenarendje,84702262,BE,BE,ok
16512,Alcobendos,84634123,BE,BE,ok
16558,Toine Toine,84909582,BE,BE,ok
16598,PepeRonny,84885131,BE,BE,ok
16612,bébé 2018,84892818,BE,BE,ok
16622,Fangame,84442231,BE,BE,ok
16710,Zenny77,84756506,BE,BE,ok
16730,Bartholomeus71,84814648,BE,BE,ok
16794,je oma,84773723,BE,BE,ok
16818,man67,83990198,BE,BE,ok
16887,Hermetia,99053757,BE,BE,ok
16890,MisterBain,93659386,BE,BE,ok
16927,Greynita,93223369,BE,BE,ok
16969,NoxXx,85217482,BE,BE,ok
17011,superchipz,91828484,BE,BE,ok
17042,Tchac,84955355,BE,BE,ok
17100,DjonasReinhardt,89539701,BE,BE,ok
17237,Bil8bi,86621119,BE,BE,ok
17306,adelyna,86717697,BE,BE,ok
17320,yagoha,84864084,BE,BE,ok
